P_NAME,HOST_NAME,DISCOVERY_METHOD,P_PERIOD,P_SEMI_MAJOR_AXIS,P_RADIUS,P_MASS,P_DENSITY,P_ECCENTRICITY,P_TEMP_EQUIL,P_INCLINATION,S_TEMPERATURE,S_RADIUS,S_MASS
11 Com b,11 Com,Radial Velocity,,1.21,,,,,,,,,2.6
11 Com b,11 Com,Radial Velocity,326.03,1.29,,,,0.231,,,4742,19,2.7
11 Com b,11 Com,Radial Velocity,323.21,1.178,,,,0.238,,,4874,13.76,2.09
11 UMi b,11 UMi,Radial Velocity,516.21997,1.53,,,,0.08,,,4213,29.79,2.78
11 UMi b,11 UMi,Radial Velocity,,1.51,,,,,,,,,1.7
11 UMi b,11 UMi,Radial Velocity,516.22,1.54,,,,0.08,,,4340,24.08,1.8
14 And b,14 And,Radial Velocity,186.76,0.775,,,,0,,,4888,11.55,1.78
14 And b,14 And,Radial Velocity,,0.68,,,,,,,,,1.2
14 And b,14 And,Radial Velocity,185.84,0.83,,,,0,,,4813,11,2.2
14 Her b,14 Her,Radial Velocity,1773.4,2.77,,,,0.369,,,,,
14 Her b,14 Her,Radial Velocity,1766,2.864,,,,0.359,,,5280,1,0.91
14 Her b,14 Her,Radial Velocity,1765.0389,2.774,,2559.47216,,0.373,,144.652,,,0.91
14 Her b,14 Her,Radial Velocity,1773.40002,2.93,,,,0.37,,,5338,0.93,0.9
14 Her b,14 Her,Radial Velocity,1796.4,2.8,,,,0.338,,,5255,,0.9
14 Her b,14 Her,Radial Velocity,1766.41,2.83,,,,0.3674,,,5314.94,1,0.97
14 Her b,14 Her,Radial Velocity,1724,2.82,,,,0.37,,,,,1
14 Her b,14 Her,Radial Velocity,,2.73,,,,0.357,,,,,0.9
16 Cyg B b,16 Cyg B,Radial Velocity,799.45,1.676,,,,0.6832,,,5711.97,1.16,0.98
16 Cyg B b,16 Cyg B,Radial Velocity,798.5,1.681,,,,0.681,,,5674,,0.99
16 Cyg B b,16 Cyg B,Radial Velocity,800.8,1.6,,,,0.634,,,5760,,1
16 Cyg B b,16 Cyg B,Radial Velocity,799.5,1.68,,,,0.689,,,5747,1.13,1.03
16 Cyg B b,16 Cyg B,Radial Velocity,799.5,1.68,,,,0.689,,,,,
16 Cyg B b,16 Cyg B,Radial Velocity,798.5,1.66,,,,0.68,,,5750,1.13,1.08
17 Sco b,17 Sco,Radial Velocity,578.38,1.45,,,,0.06,,,4157,25.92,1.22
18 Del b,18 Del,Radial Velocity,993.3,2.6,,,,0.08,,,4979,8.5,2.3
18 Del b,18 Del,Radial Velocity,982.85,2.476,,,,0.024,,,4980,8.8,2.1
18 Del b,18 Del,Radial Velocity,,2.54,,,,,,,,,2.1
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,,330,,4000,,,1700,,4060,,0.85
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,,330,,3000,,,1700,,4060,,0.85
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,,330,,3000,,,1800,,3993,1.31,0.62
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,,330,18.647,2543,,,1800,,4060,1.35,0.85
24 Boo b,24 Boo,Radial Velocity,30.3506,0.19,,,,0.042,,,4893,10.64,0.99
24 Boo b,24 Boo,Radial Velocity,30.33,0.194,,,,0.032,,,4816,12.19,1.05
24 Sex b,24 Sex,Radial Velocity,452.8,1.333,,,,0.09,,,5098,4.9,1.54
24 Sex c,24 Sex,Radial Velocity,883,2.08,,,,0.29,,,5098,4.9,1.54
2M0437 b,2MASS J04372171+2651014,Imaging,,118,,1271.31363,,,1450,,3100,0.84,0.17
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,,84,,4131.79,,,,,,,0.19
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,,,11.209,,,,1600,,3309,0.37,0.35
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,,52,,7786.5,,,,,3530,,0.4
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,,156,16.141,4417.837,,,,,3064,0.28,0.11
2MASS J0249-0557 c,2MASS J0249-0557 A,Imaging,,1950,,3686.80952,,,,,,,0.05
2MASS J03590986+2009361 b,2MASS J03590986+2009361,Imaging,,572,,5720.91133,,,2369,,,,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,,15,,2383.6,,,,,,,0.02
2MASS J11011926-7732383 b,2MASS J11011926-7732383,Imaging,,266,,8899.1954,,,2677,,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,Imaging,,587,,6356.56814,,,2506,,,,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,,55,,1589.15,,,1250,,,,0.02
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,,46,,1271,,,1150,,2825,0.22,0.19
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,406,,,,,0.33,,,29564,0.2,0.48
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,416,0.92,,603.877,,,,,,,0.48
2MASS J21252752-8138278 b,2MASS J21252752-8138278,Imaging,,7493,,3813.94088,,,1616,,,,
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,,230,,3972.875,,,,,4045,,0.6
30 Ari B b,30 Ari B,Radial Velocity,335.1,0.995,,,,0.289,,,6300,1.13,1.16
30 Ari B b,30 Ari B,Radial Velocity,345.4,1.01,,,,0.18,,,,1.13,1.16
30 Ari B b,30 Ari B,Radial Velocity,335.10001,0.99,,,,0.29,,,6331,1.41,1.93
4 UMa b,4 UMa,Radial Velocity,270.27,0.877,,,,0.453,,,4415,18.11,1.23
4 UMa b,4 UMa,Radial Velocity,269.3,0.87,,,,0.432,,,4415,18.11,1.23
42 Dra b,42 Dra,Radial Velocity,479.1,1.19,,,,0.38,,,4200,22.03,0.98
47 UMa b,47 UMa,Radial Velocity,1076.6,2.1,,,,0.012,,,5882,,1.06
47 UMa b,47 UMa,Radial Velocity,1078,2.1,,,,0.032,,,5872,1.21,1.06
47 UMa b,47 UMa,Radial Velocity,1100.8,2.11,,,,0.097,,,,,
47 UMa b,47 UMa,Radial Velocity,1083.2,2.11,,,,0.049,,,,,
47 UMa b,47 UMa,Radial Velocity,1076.6,2.059,,,,0.016,,,5829.16,1.14,1.01
47 UMa c,47 UMa,Radial Velocity,2391,3.6,,,,0.098,,,5872,1.21,1.06
47 UMa c,47 UMa,Radial Velocity,7586,7.73,,,,0.005,,,,,
47 UMa c,47 UMa,Radial Velocity,2287,3.404,,,,0.179,,,5829.16,1.14,1.01
47 UMa d,47 UMa,Radial Velocity,14002,11.6,,,,0.16,,,5872,1.21,1.06
47 UMa d,47 UMa,Radial Velocity,19000,13.8,,,,0.38,,,5829.16,1.14,1.01
51 Eri b,51 Eri,Imaging,11688,12,,,,0.45,,133,7295,1.49,1.65
51 Eri b,51 Eri,Imaging,,13.2,,635.66,,,700,,,,1.75
51 Eri b,51 Eri,Imaging,14965,14,,,,0.21,,138,7295,1.49,1.65
51 Peg b,51 Peg,Radial Velocity,4.2293,,,,,0,,,5773,1.29,
51 Peg b,51 Peg,Radial Velocity,4.23077,0.052,,,,0,,,,,
51 Peg b,51 Peg,Radial Velocity,4.2307969,0.05235,,,,0.0042,,,5760.76,1.19,1.07
51 Peg b,51 Peg,Radial Velocity,4.230785,0.0527,,,,0.013,,,5758,1.18,1.03
51 Peg b,51 Peg,Radial Velocity,4.231,0.052,,146.2018,,0,,80,,,1.04
55 Cnc b,55 Cnc,Radial Velocity,14.6516,0.1134,,,,0,,,5172,0.94,0.91
55 Cnc b,55 Cnc,Radial Velocity,14.65152,0.115227,,263.9785,,0.0034,,90,,,0.95
55 Cnc b,55 Cnc,Radial Velocity,14.648,0.11,,,,0.051,,,5200,,0.85
55 Cnc b,55 Cnc,Radial Velocity,14.6,0.113,,254.25,,0,700,,,,
55 Cnc b,55 Cnc,Radial Velocity,14.465314,0.11339,,266.966,,0.0023,,89.73,5250,0.96,0.9
55 Cnc b,55 Cnc,Radial Velocity,14.65171,0.1162,,,,0.0048,,,5317.89,0.96,0.97
55 Cnc b,55 Cnc,Radial Velocity,14.647,0.115,,,,0.03,,,,,
55 Cnc b,55 Cnc,Radial Velocity,14.651,0.1134,,,,0.004,,,5250,0.96,0.9
55 Cnc b,55 Cnc,Radial Velocity,14.65126,0.1138,,,,0.0159,,,5250,0.96,0.9
55 Cnc b,55 Cnc,Radial Velocity,14.65162,0.115,,,,0.014,,,5250,0.96,0.9
55 Cnc b,55 Cnc,Radial Velocity,14.67,0.115,,,,0.0197,,,,,0.95
55 Cnc b,55 Cnc,Radial Velocity,14.653,0.115,,,,0.02,,,,,0.95
55 Cnc c,55 Cnc,Radial Velocity,43.93,0.24,,,,0.44,,,,,0.95
55 Cnc c,55 Cnc,Radial Velocity,44.373,0.23735,,56.6985,,0.072,,89.73,5250,0.96,0.9
55 Cnc c,55 Cnc,Radial Velocity,44.3446,0.24,,,,0.086,,,5250,0.96,0.9
55 Cnc c,55 Cnc,Radial Velocity,44.3787,0.238,,,,0.053,,,5250,0.96,0.9
55 Cnc c,55 Cnc,Radial Velocity,44.3827,0.2432,,,,0.048,,,5317.89,0.96,0.97
55 Cnc c,55 Cnc,Radial Velocity,44.3989,0.2373,,,,0.03,,,5172,0.94,0.91
55 Cnc c,55 Cnc,Radial Velocity,44.4175,0.241376,,54.4738,,0.02,,90,,,0.95
55 Cnc c,55 Cnc,Radial Velocity,44.38,0.237,,,,0.07,,,5250,0.96,0.9
55 Cnc d,55 Cnc,Radial Velocity,4820,5.54,,,,0.139,,,5317.89,0.96,0.97
55 Cnc d,55 Cnc,Radial Velocity,4867,5.446,,1226.77,,0.0269,,89.73,5250,0.96,0.9
55 Cnc d,55 Cnc,Radial Velocity,4909,5.47,,,,0.02,,,5250,0.96,0.9
55 Cnc d,55 Cnc,Radial Velocity,5370,5.84,,,,0.063,,,5250,0.96,0.9
55 Cnc d,55 Cnc,Radial Velocity,5218,5.77,,,,0.025,,,5250,0.96,0.9
55 Cnc d,55 Cnc,Radial Velocity,4517.4,5.257,,,,0.327,,,,,0.95
55 Cnc d,55 Cnc,Radial Velocity,4545,5.28,,,,0.24,,,,,
55 Cnc d,55 Cnc,Radial Velocity,5360,5.9,,,,0.16,,,,,0.95
55 Cnc d,55 Cnc,Radial Velocity,5574.2,5.957,,,,0.13,,,5172,0.94,0.91
55 Cnc d,55 Cnc,Radial Velocity,4825,5.503,,1232.493,,0.019,,90,,,0.95
55 Cnc e,55 Cnc,Radial Velocity,0.7365474,,1.947,8.59,6.421,,,,,0.98,1.01
55 Cnc e,55 Cnc,Radial Velocity,0.7365437,0.01544,2.08,7.81,4.78,0.061,1958,87.3,5234,0.94,0.91
55 Cnc e,55 Cnc,Radial Velocity,0.73654604,,,,,,,,,,
55 Cnc e,55 Cnc,Radial Velocity,,,,,,,,,5250,0.96,0.9
55 Cnc e,55 Cnc,Radial Velocity,2.79674,0.0377,,,,0.264,,,5250,0.96,0.9
55 Cnc e,55 Cnc,Radial Velocity,,0.01544,1.92,8.08,6.3,,,83,5250,0.96,0.9
55 Cnc e,55 Cnc,Radial Velocity,0.736546,0.01583,2.173,8.37,4.5,0,,,5250,0.96,0.9
55 Cnc e,55 Cnc,Radial Velocity,0.7365515,0.015691,,8.13928,,0.04,,90,,,0.95
55 Cnc e,55 Cnc,Radial Velocity,0.737,,1.897,7.74,6.25,,,,5172,0.95,0.87
55 Cnc e,55 Cnc,Radial Velocity,0.736539,0.01544,1.91,8.08,6.4,,,83.3,5250,0.96,0.9
55 Cnc e,55 Cnc,Radial Velocity,0.73654582,,1.915,,,,1831,,5250,0.96,
55 Cnc e,55 Cnc,Radial Velocity,0.7365478,0.015439,,8.09479,,0.028,,90.36,5250,0.96,0.9
55 Cnc e,55 Cnc,Radial Velocity,0.7365417,,,,,,,85.4,,,
55 Cnc e,55 Cnc,Radial Velocity,0.7365474,0.01544,1.875,7.99,6.66,0.05,,83.59,5172,0.94,0.91
55 Cnc e,55 Cnc,Radial Velocity,2.808,0.038,,,,0.174,,,,,0.95
55 Cnc e,55 Cnc,Radial Velocity,0.73654,0.01583,2,8.63,5.9,,,90,,0.94,0.96
55 Cnc e,55 Cnc,Radial Velocity,0.7365445,0.01583,,,,0.036,,,5317.89,0.96,0.97
55 Cnc e,55 Cnc,Radial Velocity,0.73654625,,,,,,,83.6,5234,0.94,0.91
55 Cnc f,55 Cnc,Radial Velocity,262,0.788,,44.812,,0.305,,90,,,0.95
55 Cnc f,55 Cnc,Radial Velocity,259.88,0.7708,,,,0.08,,,5172,0.94,0.91
55 Cnc f,55 Cnc,Radial Velocity,260.98,0.792,,,,0.142,,,5317.89,0.96,0.97
55 Cnc f,55 Cnc,Radial Velocity,260.91,0.7733,,47.0051,,0.08,,89.73,5250,0.96,0.9
55 Cnc f,55 Cnc,Radial Velocity,261.2,0.77,,,,0.32,,,5250,0.96,0.9
55 Cnc f,55 Cnc,Radial Velocity,260.7,0.775,,,,0,,,5250,0.96,0.9
55 Cnc f,55 Cnc,Radial Velocity,260,0.781,,,,0.2,,,5250,0.96,0.9
6 Lyn b,6 Lyn,Radial Velocity,899,2.2,,,,0.134,,,4978,5.2,1.7
6 Lyn b,6 Lyn,Radial Velocity,874.774,2.18,,,,0.125,,,,5.2,1.82
6 Lyn b,6 Lyn,Radial Velocity,919.86,2.028,,,,0.042,,,4941,4.94,1.32
6 Lyn b,6 Lyn,Radial Velocity,934.3,2.11,,,,0.073,,,4938,5.2,1.44
61 Vir b,61 Vir,Radial Velocity,4.21487,0.04956,,,,0.099,,,5585.57,1.03,0.91
61 Vir b,61 Vir,Radial Velocity,4.215,0.050201,,,,0.12,,,5577,0.96,0.94
61 Vir c,61 Vir,Radial Velocity,38.0957,0.2151,,,,0.068,,,5585.57,1.03,0.91
61 Vir c,61 Vir,Radial Velocity,38.021,0.2175,,,,0.14,,,5577,0.96,0.94
61 Vir d,61 Vir,Radial Velocity,123.01,0.476,,,,0.35,,,5577,0.96,0.94
7 CMa b,7 CMa,Radial Velocity,796,1.93,,,,0.22,,,4794.52,4.91,
7 CMa b,7 CMa,Radial Velocity,763,1.9,,,,0.14,,,4792,2.3,1.52
7 CMa b,7 CMa,Radial Velocity,735.1,1.758,,,,0.06,,90,4826,4.87,1.34
7 CMa c,7 CMa,Radial Velocity,996,2.153,,,,0.08,,90,4826,4.87,1.34
70 Vir b,70 Vir,Radial Velocity,116.689,0.456,,,,0.397,,,,,
70 Vir b,70 Vir,Radial Velocity,116.6884,0.48,,,,0.4,,,5531,1.84,1.14
70 Vir b,70 Vir,Radial Velocity,116.69335,0.4765,,,,0.3989,,,5481.86,1.92,1.06
70 Vir b,70 Vir,Radial Velocity,116.688,0.481,,,,0.3988,,,5495,1.89,1.09
70 Vir b,70 Vir,Radial Velocity,116.6884,0.484,,2380.45,,0.4007,,,5545,,1.11
70 Vir b,70 Vir,Radial Velocity,116.6926,0.481,,,,0.399,,,5439,1.94,1.09
75 Cet b,75 Cet,Radial Velocity,691.9,2.1,,,,0.117,,,4846,10.5,2.49
75 Cet b,75 Cet,Radial Velocity,696.62,1.912,,,,0.093,,,4809,10.38,1.92
75 Cet c,75 Cet,Radial Velocity,2051.62,3.929,,,,0.023,,,4809,10.38,1.92
8 UMi b,8 UMi,Radial Velocity,93.4,0.49,,,,0.06,,,4847,10.3,1.44
8 UMi b,8 UMi,Radial Velocity,93.4,0.49,,,,0.06,,,4847.4,9.9,1.8
81 Cet b,81 Cet,Radial Velocity,952.7,2.5,,,,0.206,,,4785,11,2.4
81 Cet b,81 Cet,Radial Velocity,,2.17,,,,,,,,,1.6
81 Cet b,81 Cet,Radial Velocity,1005.57,2.104,,,,0.037,,,4734,11.21,1.23
91 Aqr b,91 Aqr,Radial Velocity,181.4,0.7,,,,0.027,,,4665,11,1.4
AB Aur b,AB Aur,Imaging,,93.9,,2860.45566,,0.4,,42.6,9770,,2.4
AB Pic b,AB Pic,Imaging,,260,,4290.5,,,,,,,
AF Lep b,AF Lep,Imaging,8030,8.4,,1017.0509,,0.24,,50,6130,1.25,1.2
AF Lep b,AF Lep,Imaging,7520,7.99,,1664.46737,,0.47,1400,82,6100,1.25,1.2
AF Lep b,AF Lep,Imaging,9060,9.3,,1366.66215,,0.32,,98,6140,,1.13
AU Mic b,AU Mic,Transit,8.4629991,0.0645,,20.12,1.32,0.186,,,,,0.5
AU Mic b,AU Mic,Transit,8.4630004,0.0644,4.19,,,0.12,,89.18,,0.75,
AU Mic b,AU Mic,Transit,8.46321,,,17.1,1.3,,,89.5,3700,0.75,0.5
AU Mic b,AU Mic,Transit,8.463,0.0645,4.07,17,1.4,0,593,89.5,3700,0.75,0.5
AU Mic b,AU Mic,Transit,8.46321,0.066,4.203,,4.4,0.1,,,3700,0.75,0.5
AU Mic b,AU Mic,Transit,8.46308,0.0649,3.957,,,0.00577,600,89.579,3678,0.74,0.51
AU Mic b,AU Mic,Transit,8.46321,,,,,0,,,,,
AU Mic b,AU Mic,Transit,8.4631427,,,10.2,,,,,3665,0.82,0.6
AU Mic b,AU Mic,Transit,,,4.027,,,,755,,3588,0.7,
AU Mic b,AU Mic,Transit,8.463,,,11.7,0.97,0.04,,,3700,0.75,0.5
AU Mic c,AU Mic,Transit,18.85882,,,14.2,,,,,3665,0.82,0.6
AU Mic c,AU Mic,Transit,18.85969,0.1108,2.522,,,0.00338,459,89.227,3678,0.74,0.51
AU Mic c,AU Mic,Transit,18.858991,0.1101,,9.6,1.22,,,,,,0.5
AU Mic c,AU Mic,Transit,18.859019,0.1101,3.24,13.6,2.3,0,454,89,3700,0.75,0.5
AU Mic c,AU Mic,Transit,18.859019,,,22.2,3.66,0.041,,,3700,0.75,0.5
AU Mic c,AU Mic,Transit,18.858982,0.11,2.79,,,0.13,,89.39,,0.75,
AU Mic d,AU Mic,Transit Timing Variations,12.73596,,,1.053,,0.00305,,89.318,3678,0.74,0.51
BD+03 2562 b,BD+03 2562,Radial Velocity,481.9,1.3,,,,0.2,,,4095,32.35,1.14
BD+14 4559 b,BD+14 4559,Radial Velocity,268.94,0.78,,,,0.29,,,4864,0.86,0.49
BD+14 4559 b,BD+14 4559,Radial Velocity,268.94,0.777,,,,0.29,,,5008,0.95,0.86
BD+15 2375 b,BD+15 2375,Radial Velocity,153.22,0.576,,,,0.001,,,4649,8.95,1.08
BD+15 2940 b,BD+15 2940,Radial Velocity,137.48,0.539,,,,0.26,,,4796,14.7,1.1
BD+20 2457 b,BD+20 2457,Radial Velocity,379.63,1.45,,,,0.15,,,4137,49,2.8
BD+20 2457 b,BD+20 2457,Radial Velocity,379.63,1.05,,,,0.15,,,4259,71.02,10.83
BD+20 2457 c,BD+20 2457,Radial Velocity,621.99,2.01,,,,0.18,,,4137,49,2.8
BD+20 274 b,BD+20 274,Radial Velocity,578.2,1.3,,,,0.21,,,4296,17.3,0.8
BD+20 594 b,BD+20 594,Transit,41.6855,0.241,2.23,16.3,7.89,0,546,89.55,5766,0.93,0.96
BD+20 594 b,BD+20 594,Transit,41.688644,,2.355,,,,,89.526,5703,0.96,0.96
BD+20 594 b,BD+20 594,Transit,41.6855,,2.578,22.2481,,0,,89.55,5766,1.08,1.67
BD+45 564 b,BD+45 564,Radial Velocity,307.88,0.83,,,,0.12,,2.579,5004,,0.81
BD+48 738 b,BD+48 738,Radial Velocity,392.6,1,,,,0.2,,,4414,11,0.74
BD+48 740 b,BD+48 740,Radial Velocity,733,1.7,,,,0.76,,,4534,10.33,1.09
BD+49 828 b,BD+49 828,Radial Velocity,2590,4.2,,,,0.35,,,4943,7.6,1.52
BD+55 362 b,BD+55 362,Radial Velocity,265.59,0.78,,,,0.27,,0.601,5012,,0.91
BD+60 1417 b,BD+60 1417,Imaging,,1662,14.684,4767.4261,,,1303,,4993,0.8,1
BD+63 1405 b,BD+63 1405,Radial Velocity,1230,2.115,,3305.41543,,0.891,,23.5,5000,,0.82
BD+63 1405 b,BD+63 1405,Radial Velocity,1198.48,2.06,,,,0.88,,5.974,5000,,0.82
BD-00 4475 b,BD-00 4475,Radial Velocity,723.2,1.48,,,,0.39,,13.31,5040,,0.81
BD-06 1339 b,BD-06 1339,Radial Velocity,3.8728,0.0428,,,,0,,,4324,,0.7
BD-06 1339 c,BD-06 1339,Radial Velocity,125.94,0.435,,,,0.31,,,4324,,0.7
BD-08 2823 b,BD-08 2823,Radial Velocity,5.6,0.056,,,,0.15,,,4746,,0.74
BD-08 2823 b,BD-08 2823,Radial Velocity,5.6,0.06,,,,0.15,,,4816,0.71,0.5
BD-08 2823 c,BD-08 2823,Radial Velocity,237.6,0.68,,,,0.19,,,4746,,0.74
BD-10 3166 b,BD-10 3166,Radial Velocity,3.487905,0.045,,,,0.022,,,5382.64,0.97,1
BD-10 3166 b,BD-10 3166,Radial Velocity,3.487,0.046,,,,0.05,,,5400,,1.1
BD-10 3166 b,BD-10 3166,Radial Velocity,3.48777,0.04,,,,0.02,,,5393,0.91,1.47
BD-10 3166 b,BD-10 3166,Radial Velocity,3.48777,0.0452,,,,0.019,,,5393,,1.01
BD-11 4672 b,BD-11 4672,Radial Velocity,1667,2.28,,,,0.05,,,4475,0.52,0.57
BD-11 4672 b,BD-11 4672,Radial Velocity,1634,2.36,,,,0.05,,,4550,0.64,0.65
BD-11 4672 c,BD-11 4672,Radial Velocity,74.2,0.3,,,,0.4,,,4550,0.64,0.65
BD-13 2130 b,BD-13 2130,Radial Velocity,714.29999,1.66,,,,0.21,,,4545,19.17,2.12
BD-13 2130 b,BD-13 2130,Radial Velocity,714.3,2.1,,,,0.21,,,,,2.4
BD-14 3065 b,BD-14 3065 A,Transit,4.2889731,0.0656,21.59,3932,2.15,0.066,2001,80.78,6935,2.35,1.41
BD-14 3065 b,BD-14 3065 A,Transit,4.2889696,,20.711,,,,1404,,6736.9,2.61,
BD-17 63 b,BD-17 63,Radial Velocity,655.6,1.34,,,,0.54,,,4714,0.69,0.74
BD-17 63 b,BD-17 63,Radial Velocity,655.59998,1.34,,,,0.54,,,4665,0.74,0.31
BD-210397 b,BD-210397,Radial Velocity,1891,2.63,,,,0.1,,,4051,0.75,0.68
BD-210397 c,BD-210397,Radial Velocity,6360,5.9,,,,0.1,,,4051,0.75,0.68
BD-210397 c,BD-210397,Radial Velocity,6240,5.9,,1525.57635,,0.43,,33,,,0.69
CD Cet b,CD Cet,Radial Velocity,2.2907,0.0185,,,,,464,87.48,3130,0.17,0.16
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,Imaging,10037.5,2.6,,3337.1,,,370,,580.5,,0.02
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,Imaging,8040000,200,20.849,2479.06157,,,1800,,2320,0.24,0.01
CHXR 73 b,CHXR 73,Imaging,,210,,3994.486,,,,,,,0.35
CI Tau c,CI Tau,Radial Velocity,25.2,0.17,,,,0.58,,,,,
COCONUTS-2 b,COCONUTS-2 A,Imaging,402000000,7506,12.442,2002.31896,,,434,,3406,0.39,0.37
CT Cha b,CT Cha,Imaging,,440,24.66,5403,,,2600,,,,
CoRoT-1 b,CoRoT-1,Transit,1.5089635,,20.594,,,,2036,,5950,1.29,
CoRoT-1 b,CoRoT-1,Transit,1.5089557,,16.7,327.35,0.38,0,1898,85.1,5950,1.11,0.95
CoRoT-1 b,CoRoT-1,Transit,1.5089686,0.02536,17.385,327.3649,0.344,,1915,84.42,5950,1.13,0.95
CoRoT-1 b,CoRoT-1,Transit,1.5089682,0.02752,19.223,390.9309,0.302,0.036,,85.1,6298,1.23,1.22
CoRoT-1 b,CoRoT-1,Transit,1.5089557,0.0261,16.589,359.1479,,0,,86.7,5950,1.14,1.03
CoRoT-1 b,CoRoT-1,Transit,1.50896877,,,,,,,,,,
CoRoT-1 b,CoRoT-1,Transit,1.50897655,0.0259,15.917,340.0781,0.44,0.071,1834,85.66,5950,,
CoRoT-10 b,CoRoT-10,Transit,13.2406,0.1055,10.873,867.6759,3.69,0.524,,88.55,5075,0.79,0.89
CoRoT-10 b,CoRoT-10,Transit,13.2406,0.106,10.548,883.5674,4.16,,647,88.57,5075,0.74,0.9
CoRoT-10 b,CoRoT-10,Transit,13.2406,0.1055,10.87,874,3.7,0.53,600,88.55,5075,0.79,0.89
CoRoT-11 b,CoRoT-11,Transit,2.99433,0.0436,16.03,740.51,0.99,0,1657,83.17,6440,1.37,1.27
CoRoT-11 b,CoRoT-11,Transit,2.99433,0.044,15.984,743.7222,1,,1735,83.13,6440,1.37,1.26
CoRoT-11 b,CoRoT-11,Transit,2.994325,0.04351,15.581,791.3967,0.93,0,1715,83.41,,1.33,1.23
CoRoT-11 b,CoRoT-11,Transit,2.99427803,,,,,,,83.17,6440,1.37,1.27
CoRoT-11 b,CoRoT-11,Transit,,,,,,,,,6343,1.36,1.56
CoRoT-11 b,CoRoT-11,Transit,2.994325,0.04407,16.029,832.7146,1.11,0.36,,83.17,6440,1.37,1.27
CoRoT-12 b,CoRoT-12,Transit,2.82805268,0.0392,15.065,277.46559,0.447,,1417,85.71,,1.05,1
CoRoT-12 b,CoRoT-12,Transit,2.82803915,,17.76,,,,1293,,5675,1.04,
CoRoT-12 b,CoRoT-12,Transit,2.828042,0.04013,16.141,290.81445,0.381,0.05,,85.48,5675,1.12,1.08
CoRoT-12 b,CoRoT-12,Transit,2.828041,,,,,,,,5675,1.12,1.08
CoRoT-12 b,CoRoT-12,Transit,2.828042,0.04016,16.14,291.438,0.411,0.07,1442,85.48,5675,1.12,1.08
CoRoT-12 b,CoRoT-12,Transit,2.828042,0.0394,15.132,281.91521,0.448,,1410,85.79,5675,1.05,1.02
CoRoT-13 b,CoRoT-13,Transit,4.03515,,,,,,,,5945,1.01,1.09
CoRoT-13 b,CoRoT-13,Transit,4.03519,0.051,9.92,415.704,2.34,0,1700,88.02,5945,1.01,1.09
CoRoT-13 b,CoRoT-13,Transit,4.03519,0.051,14.034,416.99296,0.82,,1432,85.27,5945,1.27,1.09
CoRoT-13 b,CoRoT-13,Transit,4.03504444,,12.533,,,,1233,,5945,1.14,
CoRoT-13 b,CoRoT-13,Transit,4.03519,0.05107,9.92,423.03173,2.38,0.067,,88.02,5945,1.01,1.09
CoRoT-14 b,CoRoT-14,Transit,1.51214,0.02687,11.411,2437.7561,9,,1936,79.7,6035,1.19,1.12
CoRoT-14 b,CoRoT-14,Transit,1.51214,0.02691,12.218,2358.2986,7.1,0.036,,79.6,6040,1.21,1.13
CoRoT-14 b,CoRoT-14,Transit,1.51214,0.027,12.22,2415.4,7.3,0,1952,79.6,6035,1.21,1.13
CoRoT-16 b,CoRoT-16,Transit,5.35227,0.0618,13.115,168.13207,0.41,0.37,,85.01,5650,1.19,1.1
CoRoT-16 b,CoRoT-16,Transit,5.35227,0.0618,13.11,170.032,0.44,0.33,,85.01,5650,1.19,1.1
CoRoT-17 b,CoRoT-17,Transit,3.7681,0.0461,11.43,772.29,2.82,0,1626,88.34,5740,1.59,1.04
CoRoT-17 b,CoRoT-17,Transit,3.7681,0.0481,11.287,781.8618,3.0058,,1610,89.3,5740,1.62,1.04
CoRoT-17 b,CoRoT-17,Transit,3.7681,0.0481,11.433,765.9703,2.81,0.081,,88.3,5740,1.59,1.04
CoRoT-18 b,CoRoT-18,Transit,1.9000769,,,,,,,,5440,1,0.95
CoRoT-18 b,CoRoT-18,Transit,1.90009,0.0288,12.846,1048.839,2.73,,1487,89.9,,0.88,0.88
CoRoT-18 b,CoRoT-18,Transit,1.90008625,,15.05,,,,1366,,5440,0.93,
CoRoT-18 b,CoRoT-18,Transit,1.9000693,0.0295,14.684,1099.6918,1.91,0.025,,86.5,5440,1,0.95
